waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y OS("/M0" "gmoverid")) (L=1.8e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y OS("/M0" "gmoverid")) (L=1.8e-07) Y,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y OS("/M0" "gmoverid")) (L=3.6e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y OS("/M0" "gmoverid")) (L=3.6e-07) Y,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y OS("/M0" "gmoverid")) (L=5.4e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y OS("/M0" "gmoverid")) (L=5.4e-07) Y,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y OS("/M0" "gmoverid")) (L=7.2e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y OS("/M0" "gmoverid")) (L=7.2e-07) Y
0.0005000499635639705,27.22290776592774,0.0004999210135808932,27.33201597064523,0.0004999318552729637,27.26875282899333,0.0004999439542856183,27.19080850086891
0.000511557851125078,27.22040149789356,0.0005115534152987267,27.32775124856863,0.0005115553753092617,27.26333015114923,0.0005115569100950288,27.18449371083735
0.0005234752252628547,27.2178376245683,0.000523470780185058,27.32343658806477,0.0005234727373651612,27.2578414390861,0.0005234742702342878,27.17809791385472
0.000535670199195703,27.21524615240216,0.0005356657456127349,27.31907661659911,0.0005356676998937236,27.25229681093482,0.0005356692307700158,27.1716387457053
0.0005481492399162251,27.21262679937361,0.0005481447778171881,27.31467091120535,0.000548146729184193,27.24669578972064,0.0005481482580551145,27.16511571110496
0.0005609189641918588,27.2099792810895,0.0005609144935654056,27.31021904625536,0.0005609164420033453,27.24103789671776,0.0005609179688562096,27.15852831427974
0.0005739861429143973,27.20730331058698,0.0005739816637486851,27.3057205934451,0.0005739836092422702,27.23532265144317,0.0005739851340642344,27.15187605895656
0.0005873577046899177,27.20459859831979,0.0005873532169726252,27.30117512181259,0.0005873551595063528,27.22954957171834,0.0005873566822844357,27.14515844846669
0.0006010407395124493,27.20186485214401,0.0006010362432307903,27.29658219775787,0.0006010381827889291,27.22371817373156,0.0006010397035100065,27.13837498585229
0.0006150425025231966,27.19910177730259,0.0006150379976639077,27.29194138506341,0.0006150399342305138,27.2178279721035,0.0006150414528812983,27.13152517397654
0.0006293704178572975,27.19630907641314,0.0006293659044066263,27.28725224491654,0.0006293678379655328,27.21187847995515,0.0006293693545326004,27.12460851563599
0.0006440320825801799,27.19348644945238,0.0006440275605239119,27.28251433593225,0.0006440294910587414,27.20586920897751,0.000644031005528505,27.11762451367753
0.0006590352707156801,27.1906335937431,0.0006590307400391118,27.27772721417833,0.0006590326675332555,27.19979966950493,0.000659034179891979,27.1105726711179
0.0006743879373678692,27.18775020394061,0.0006743833980558196,27.27289043320142,0.0006743853224924515,27.1936693705897,0.0006743868327262554,27.10345249126706
0.0006900982229389868,27.18483597201909,0.0006900936749758147,27.26800354405423,0.0006900955963378741,27.1874778200802,0.0006900971044327076,27.09626347785519
0.0007061744574456228,27.18189058725832,0.000706169900815172,27.26306609532518,0.0007061718190853766,27.18122452470113,0.0007061733250270551,27.08900513516246
0.0007226251649353002,27.1789137362314,0.000722620599620982,27.25807763316811,0.0007226225147818287,27.17490899013659,0.0007226240185559912,27.08167696815389
0.000739459068006186,27.17590510279058,0.0007394544939908827,27.25303770133499,0.0007394564060246374,27.16853072111645,0.0007394579076167772,27.07427848261653
0.0007566850924317749,27.17286436805639,0.0007566805096979279,27.24794584120919,0.0007566824185866195,27.16208922150432,0.0007566839179820809,27.06680918530114
0.0007743123718935732,27.16979121040429,0.0007743077804231194,27.24280159184093,0.0007743096861485557,27.15558399438979,0.0007743111833325137,27.05926858406776
0.0007923502528238489,27.16668530545223,0.000792345652598238,27.23760448998407,0.000792347555141984,27.1490145421826,0.0007923490500994672,27.05165618803494
0.000810808299361189,27.16354632605035,0.0008108036903614222,27.23235407013473,0.0008108055897048047,27.1423803667102,0.0008108070824206725,27.04397150773289
0.000829696298421628,27.16037394226804,0.0008296916806281938,27.22704986457187,0.0008296935767523186,27.1356809693183,0.0008296950672112779,27.03621405526078
0.0008490242648877495,27.15716782138307,0.0008490196382806289,27.22169140339939,0.000849021531166377,27.12891585097461,0.0008490230193529652,27.02838334444848
0.00086880244691867,27.15392762787145,0.0008687978114774079,27.21627821458969,0.0008687997011053918,27.12208451237565,0.000868801187004005,27.0204788910215
0.0008890413313838265,27.15065302339535,0.0008890366870874501,27.21080982403015,0.0008890385734380606,27.11518645405686,0.0008890400570329244,27.01250021277131
0.0009097516494232102,27.14734366679378,0.000909746996250271,27.20528575557067,0.000909748879303653,27.10822117650569,0.0009097503605788249,27.00444682972915
0.0009309443821371658,27.14399921407266,0.0009309397200656968,27.19970553107346,0.0009309415998017706,27.10118818027878,0.0009309430787411618,26.99631826434435
0.0009526307664087046,27.14061931839426,0.0009526260954162751,27.19406867046472,0.0009526279718147017,27.09408696612163,0.0009526294484020563,26.98811404166699
0.0009748223008614545,27.137203630069,0.0009748176209251465,27.18837469178847,0.000974819493965362,27.08691703509243,0.0009748209681842512,26.97983368953554
0.0009975307519564361,27.13375179654577,0.0009975260630528165,27.18262311126257,0.0009975279327139944,27.07967788868909,0.0009975294045478432,26.97147673876793
0.001020768160230694,27.13026346240356,0.00102076346233585,27.17681344333691,0.001020765328596927,27.07236902898019,0.001020766798028993,26.96304272335838
