waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "is"))) (L=1.8e-07) X,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "is"))) (L=1.8e-07) Y,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "is"))) (L=3.6e-07) X,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "is"))) (L=3.6e-07) Y,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "is"))) (L=5.4e-07) X,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "is"))) (L=5.4e-07) Y,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "is"))) (L=7.2e-07) X,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "is"))) (L=7.2e-07) Y
0.0004999223157280791,0.6667188844484687,0.0005000165462243068,0.3981899178269145,0.0004998943846703101,0.3092434404488347,0.0005004546075616837,0.2655795395120076
0.0005115364625581172,0.6641196249255638,0.0005115385914372117,0.3969198436349958,0.0005115354051486679,0.3084044263518369,0.000511533283098356,0.2649604718997293
0.0005234537981434214,0.661536845412989,0.0005234559253792863,0.3956503691359329,0.0005234527356227729,0.3075751492188023,0.0005234506141007932,0.2643172459451385
0.0005356487341343517,0.6589774644773052,0.0005356508591509263,0.3943951335210583,0.0005356476666161338,0.3067557763845287,0.0005356455424608935,0.2636819667511072
0.0005481277368771969,0.6564411503162652,0.0005481298596469056,0.3931538751040383,0.0005481266643092365,0.3059461110557238,0.0005481245375001849,0.2630544682415829
0.0005608974231388599,0.6539275776213077,0.0005608995436335586,0.3919263383496986,0.0005608963454681092,0.3051459610369272,0.0005608942159845002,0.2624345883906946
0.0005739645638105798,0.651436427367778,0.0005739666820015053,0.3907122736152788,0.0005739634809830753,0.3043551385936413,0.0005739613488040099,0.2618221689352204
0.0005873360874978723,0.6489673866534444,0.0005873382033556889,0.389511436978386,0.0005873349994587799,0.3035734603221477,0.0005873328645631942,0.2612170552649801
0.0006010190841942237,0.6465201485420614,0.0006010211976890086,0.3883235900707587,0.0006010179908878202,0.3028007470235765,0.000601015853254488,0.2606190963168269
0.0006150208090402896,0.6440944119117866,0.0006150229201415106,0.3871484999175886,0.0006150197104099586,0.3020368235821579,0.0006150175700174943,0.2600281444720362
0.0006293486861706414,0.6416898813083176,0.0006293507948471882,0.3859859387821914,0.0006293475821588886,0.3012815188473851,0.0006293454389857587,0.2594440554570329
0.0006440103126501836,0.6393062668025312,0.0006440124188703371,0.3848356840158683,0.0006440092031986146,0.3005346655200739,0.0006440070572231352,0.2588666882472673
0.0006590134625021662,0.6369432838525011,0.0006590155662336305,0.3836975179126822,0.0006590123475515165,0.2997961000420635,0.0006590101987518493,0.2582959049741925
0.0006743660908301404,0.6346006531696987,0.0006743681920400021,0.3825712275690555,0.0006743649703202479,0.2990656624895114,0.0006743628186744055,0.2577315708351929
0.0006900763380357811,0.6322781005892786,0.0006900784366905472,0.3814566047479211,0.0006900752119056124,0.2983431964695721,0.0006900730573914674,0.2571735540063259
0.0007061525341350986,0.6299753569442472,0.0007061546302006791,0.3803534457473261,0.0007061514023227369,0.2976285490203966,0.0007061492449180307,0.2566217255578638
0.0007226032031751202,0.6276921579434241,0.0007226052966168143,0.3792615512732652,0.000722602065617763,0.2969215705143114,0.0007225999053000791,0.2560759593724166
0.000739437067753411,0.6254282440530383,0.0007394391585359131,0.3781807263166586,0.0007394359243873779,0.2962221145640112,0.0007394337611341812,0.255536132065658
