waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gm")) (L=7.2e-07) Y
0.1765237724192378,2.722535584383733e-08,0.1853711492864723,2.732742493434854e-08,0.1814457805779035,2.726476369802873e-08,0.1783727940818903,2.71874887362098e-08
0.1773238956104941,2.784934799003358e-08,0.1861969719811344,2.795893568976617e-08,0.1822766888702397,2.789313354200139e-08,0.1792068593847846,2.781255936549028e-08
0.1781339020300177,2.849545518500114e-08,0.1870239602967956,2.860576810181657e-08,0.1831094402600996,2.853720116715346e-08,0.1800435671120792,2.845379816264309e-08
0.1789440717651808,2.915652050277318e-08,0.1878511325028987,2.926751389979781e-08,0.1839424046477428,2.919607777610092e-08,0.1808805124780895,2.910974993495797e-08
0.1797544046872534,2.983288926613309e-08,0.188678489362923,2.994451528883542e-08,0.1847755832161347,2.987010188946628e-08,0.181717696955618,2.978075006265849e-08
0.1805649006367938,3.052491468826851e-08,0.1895060316607263,3.063712226879077e-08,0.1856089771675287,3.055961969663147e-08,0.1825551220341016,3.046714149305615e-08
0.1813755594811417,3.123295809965875e-08,0.1903337602062982,3.134569281495876e-08,0.1864425877330423,3.12649852354797e-08,0.1833927892337104,3.116927492083073e-08
0.1821863811140899,3.195738913345334e-08,0.191161675835593,3.207059305810803e-08,0.1872764161724546,3.198656056846981e-08,0.1842307001050896,3.188750896116895e-08
0.1829973654555748,3.269858591505215e-08,0.1919897794103755,3.281219746853975e-08,0.1881104637740119,3.272471596261337e-08,0.18506885622911,3.262221032673021e-08
0.1838085124513743,3.345693525597284e-08,0.1928180718180705,3.357088904424642e-08,0.1889447318542434,3.347983007344022e-08,0.1859072592166277,3.337375400852436e-08
0.1846198220728223,3.423283285210593e-08,0.1936465539716221,3.434705950326484e-08,0.1897792217577807,3.425229013303556e-08,0.1867459107082495,3.414252346078543e-08
0.1854312943165272,3.502668348644893e-08,0.1944752268093586,3.514110948031484e-08,0.1906139348571881,3.504249214224485e-08,0.1875848123741065,3.492891078993122e-08
