waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "id"))) (L=1.8e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "id"))) (L=1.8e-07) Y,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "id"))) (L=3.6e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "id"))) (L=3.6e-07) Y,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "id"))) (L=5.4e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "id"))) (L=5.4e-07) Y,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "id"))) (L=7.2e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gds") / OS("/M0" "id"))) (L=7.2e-07) Y
0.0005000499635639705,1.216684572138577,0.0004999210135808932,0.5246776890485667,0.0004999318552729637,0.3963997701046226,0.0004999439542856183,0.3445835791411843
0.000511557851125078,1.213437164495955,0.0005115534152987267,0.5227126187747515,0.0005115553753092617,0.3947402672836414,0.0005115569100950288,0.3430958777352895
0.0005234752252628547,1.210188949911155,0.000523470780185058,0.5207699670637986,0.0005234727373651612,0.3931002511624399,0.0005234742702342878,0.3416258761701234
0.000535670199195703,1.206978898704064,0.0005356657456127349,0.5188516243869903,0.0005356676998937236,0.391482539602777,0.0005356692307700158,0.3401774204661553
0.0005481492399162251,1.203806308797351,0.0005481447778171881,0.5169571390812757,0.000548146729184193,0.3898866811600738,0.0005481482580551145,0.3387500446787878
0.0005609189641918588,1.200670494647622,0.0005609144935654056,0.5150860700236991,0.0005609164420033453,0.3883122357362343,0.0005609179688562096,0.3373432951976916
0.0005739861429143973,1.197570786547,0.0005739816637486851,0.5132379863137432,0.0005739836092422702,0.3867587742139437,0.0005739851340642344,0.3359567303303264
0.0005873577046899177,1.194506530173501,0.0005873532169726252,0.5114124669798724,0.0005873551595063528,0.3852258781226451,0.0005873566822844357,0.3345899199252177
0.0006010407395124493,1.191477086156272,0.0006010362432307903,0.5096091006959317,0.0006010381827889291,0.3837131393162682,0.0006010397035100065,0.3332424450088973
0.0006150425025231966,1.188481829655136,0.0006150379976639077,0.5078274855069652,0.0006150399342305138,0.3822201596622523,0.0006150414528812983,0.3319138974359582
0.0006293704178572975,1.185520149953922,0.0006293659044066263,0.5060672285641664,0.0006293678379655328,0.38074655074144,0.0006293693545326004,0.3306038795518082
0.0006440320825801799,1.182591450067066,0.0006440275605239119,0.5043279458685369,0.0006440294910587414,0.379291933558388,0.000644031005528505,0.3293120038674031
0.0006590352707156801,1.179695146358956,0.0006590307400391118,0.5026092620230032,0.0006590326675332555,0.377855938261692,0.000659034179891979,0.3280378927456812
0.0006743879373678692,1.176830668175597,0.0006743833980558196,0.5009108099926158,0.0006743853224924515,0.3764382038739473,0.0006743868327262554,0.3267811780991552
0.0006900982229389868,1.1739974574881,0.0006900936749758147,0.4992322308725676,0.0006900955963378741,0.3750383780309874,0.0006900971044327076,0.3255415010981136
0.0007061744574456228,1.171194968547566,0.000706169900815172,0.4975731736637314,0.0007061718190853766,0.3736561167299744,0.0007061733250270551,0.3243185118892379
