waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=7.2e-07) Y
0.1765237724192378,27.22290776592774,0.1853711492864723,27.33201597064523,0.1814457805779035,27.26875282899333,0.1783727940818903,27.19080850086891
0.1773238956104941,27.22040149789356,0.1861969719811344,27.32775124856863,0.1822766888702397,27.26333015114923,0.1792068593847846,27.18449371083735
0.1781339020300177,27.2178376245683,0.1870239602967956,27.32343658806477,0.1831094402600996,27.2578414390861,0.1800435671120792,27.17809791385472
0.1789440717651808,27.21524615240216,0.1878511325028987,27.31907661659911,0.1839424046477428,27.25229681093482,0.1808805124780895,27.1716387457053
0.1797544046872534,27.21262679937361,0.188678489362923,27.31467091120535,0.1847755832161347,27.24669578972064,0.181717696955618,27.16511571110496
0.1805649006367938,27.2099792810895,0.1895060316607263,27.31021904625536,0.1856089771675287,27.24103789671776,0.1825551220341016,27.15852831427974
0.1813755594811417,27.20730331058698,0.1903337602062982,27.3057205934451,0.1864425877330423,27.23532265144317,0.1833927892337104,27.15187605895656
0.1821863811140899,27.20459859831979,0.191161675835593,27.30117512181259,0.1872764161724546,27.22954957171834,0.1842307001050896,27.14515844846669
0.1829973654555748,27.20186485214401,0.1919897794103755,27.29658219775787,0.1881104637740119,27.22371817373156,0.18506885622911,27.13837498585229
0.1838085124513743,27.19910177730259,0.1928180718180705,27.29194138506341,0.1889447318542434,27.2178279721035,0.1859072592166277,27.13152517397654
0.1846198220728223,27.19630907641314,0.1936465539716221,27.28725224491654,0.1897792217577807,27.21187847995515,0.1867459107082495,27.12460851563599
0.1854312943165272,27.19348644945238,0.1944752268093586,27.28251433593225,0.1906139348571881,27.20586920897751,0.1875848123741065,27.11762451367753
0.186242929204109,27.1906335937431,0.195304091294867,27.27772721417833,0.1914488725527972,27.19979966950493,0.1884239659136331,27.1105726711179
0.187054726781941,27.18775020394061,0.1961331484168703,27.27289043320142,0.1922840362725487,27.1936693705897,0.1892633730553536,27.10345249126706
0.1878666871209045,27.18483597201909,0.1969623991891153,27.26800354405423,0.1931194274718409,27.1874778200802,0.1901030355566716,27.09626347785519
0.1886788103161546,27.18189058725832,0.1977918446502645,27.26306609532518,0.1939550476333831,27.18122452470113,0.1909429552036688,27.08900513516246
0.189491096486891,27.1789137362314,0.1986214858637931,27.25807763316811,0.1947908982670557,27.17490899013659,0.1917831338109045,27.08167696815389
0.1903035457761444,27.17590510279058,0.1994513239178943,27.25303770133499,0.195626980909773,27.16853072111645,0.1926235732212218,27.07427848261653
0.1911161583505659,27.17286436805639,0.2002813599253887,27.24794584120919,0.1964632971253534,27.16208922150432,0.1934642753055576,27.06680918530114
0.1919289344002312,27.16979121040429,0.201111595023638,27.24280159184093,0.1972998485043934,27.15558399438979,0.1943052419627551,27.05926858406776
0.1927418741384472,27.16668530545223,0.2019420303744663,27.23760448998407,0.1981366366641446,27.1490145421826,0.195146475119382,27.05165618803494
0.1935549778015711,27.16354632605035,0.2027726671640833,27.23235407013473,0.1989736632483959,27.1423803667102,0.195987976729548,27.04397150773289
0.1943682456488385,27.16037394226804,0.2036035066030145,27.22704986457187,0.1998109299273592,27.1356809693183,0.1968297487747284,27.03621405526078
0.1951816779621945,27.15716782138307,0.2044345499260346,27.22169140339939,0.2006484383975582,27.12891585097461,0.1976717932635881,27.02838334444848
0.195995275046137,27.15392762787145,0.2052657983921068,27.21627821458969,0.2014861903817195,27.12208451237565,0.1985141122318074,27.0204788910215
0.1968090372275648,27.15065302339535,0.2060972532843223,27.21080982403015,0.2023241876286685,27.11518645405686,0.1993567077419091,27.01250021277131
0.1976229648556348,27.14734366679378,0.2069289159098494,27.20528575557067,0.2031624319132259,27.10822117650569,0.200199581883089,27.00444682972915
0.1984370583016257,27.14399921407266,0.2077607875998798,27.19970553107346,0.2040009250361073,27.10118818027878,0.201042736771044,26.99631826434435
0.1992513179588056,27.14061931839426,0.2085928697095852,27.19406867046472,0.2048396688238251,27.09408696612163,0.2018861745478028,26.98811404166699
0.2000657442423119,27.137203630069,0.2094251636180705,27.18837469178847,0.2056786651285915,27.08691703509243,0.202729897381556,26.97983368953554
0.2008803375890345,27.13375179654577,0.2102576707283358,27.18262311126257,0.2065179158282227,27.07967788868909,0.2035739074664867,26.97147673876793
0.2016950984575019,27.13026346240356,0.2110903924672373,27.17681344333691,0.2073574228260462,27.07236902898019,0.2044182070225999,26.96304272335838
0.2025100273277811,27.12673826934362,0.211923330285453,27.17094520075355,0.2081971880508068,27.06498995873887,0.205262798295551,26.95453118067797
0.2033251247013767,27.12317585618097,0.2127564856574511,27.16501789460911,0.2090372134565747,27.05754018158171,0.2061076835564745,26.94594165168009
0.2041403911011395,27.11957585883811,0.2135898600814595,27.15903103442001,0.2098775010226538,27.05001920210963,0.2069528651018094,26.93727368111108
