waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) Y
25.3423908594714,38.01060904467322,25.48520709310253,64.0026428398432,25.41744791444452,82.19235912507548,25.31327515303491,95.31334830818331
25.33811007099516,38.15293076730735,25.47823013473381,64.18986236970147,25.40868873572828,82.38756180088447,25.3037809243951,95.50021081624195
25.33377326850918,38.29533221644462,25.47111086749721,64.37782662284371,25.39984866764813,82.58095210929808,25.293714724593,95.69453038960214
25.32939189147861,38.43741744881921,25.46392444446482,64.56449961014846,25.39093114650661,82.77246298592344,25.28356615588231,95.88659576309894
25.32496554103143,38.57918646451427,25.4566704155296,64.74989063453371,25.38193580388879,82.96211289074313,25.27333497424105,96.07643292730775
25.3204938162433,38.72063923094938,25.44934833264641,64.93400887474697,25.37286227767886,83.14992009547971,25.26302094909826,96.26406756829026
25.31597631409415,38.86177568605884,25.44195774953606,65.11686339955602,25.36371021229118,83.33590268753585,25.25262386095998,96.44952512484893
25.31141262949852,39.0025957390908,25.43449822183972,65.29846317003289,25.35447925892908,83.5200785734803,25.24214350173889,96.63283079327694
25.30680235533683,39.14309927139172,25.42696930727735,65.47881704184944,25.34516907584804,83.70246548260539,25.23157967508725,96.81400953218704
25.30214508248782,39.28328613717756,25.41937056581067,65.65793376758951,25.33577932862348,83.88308097052884,25.22093219673429,96.99308606744522
25.29744039986346,39.42315616429147,25.41170155980932,65.83582199907269,25.32630969042338,84.06194242286891,25.21020089482653,97.17008489717215
25.29268789444432,39.56270915494829,25.40396185422126,66.01249028968363,25.31675984228527,84.23906705895219,25.19938561027215,97.34503029683719
25.28788715131731,39.701944886467,25.39615101674741,66.18794709672007,25.30712947339786,84.4144719355825,25.18848619708844,97.51794632441086
25.28303775371432,39.84086311199145,25.38826861801985,66.36220078374076,25.29741828138722,84.58817395084411,25.17750252275247,97.68885682558576
25.27813928305355,39.97946356119959,25.38031423178489,66.53525962293149,25.2876259726077,84.76018984795844,25.16643446855498,97.85778543907335
25.27319131898122,40.11774594100176,25.37228743508948,66.70713179747194,25.27775226243677,84.93053621917322,25.15528192995648,98.0247556019352
25.26819343941582,40.25570993622852,25.36418780847253,66.87782540391801,25.26779687557489,85.09922950968969,25.14404481694682,98.1897905549943
25.26314522059436,40.39335521030925,25.35601493615983,67.04734845458178,25.25775954634927,85.26628602163755,25.13272305440632,98.35291334827228
25.25804623711963,40.53068140594007,25.34776840626381,67.21570887992949,25.24764001902232,85.43172191806309,25.12131658246972,98.51414684648597
25.2528960620099,40.66768814574424,25.33944781098745,67.38291453098047,25.23743804810385,85.5955532269659,25.10982535689139,98.67351373457956
25.24769426675002,40.80437503292251,25.33105274683211,67.54897318171271,25.22715339866794,85.75779584536157,25.09824934941276,98.83103652329474
25.24244042134553,40.94074165189749,25.32258281481065,67.71389253147809,25.21678584667355,85.91846554336792,25.08658854813073,98.98673755477836
25.23713409437698,41.07678756894794,25.31403762066379,67.87768020742386,25.206335179289,86.07757796831642,25.07484295786712,99.14063900821051
25.23177485305799,41.21251233283797,25.3054167750822,68.04034376691797,25.19580119522065,86.23514864890633,25.06301260053921,99.29276290548302
25.22636226329451,41.34791547543885,25.29671989393172,68.20189069998452,25.18518370504508,86.39119299935432,25.05109751553013,99.4431311168638
25.22089588974603,41.48299651234431,25.28794659848435,68.36232843174318,25.17448253154463,86.54572632359054,25.03909776005968,99.59176536672088
25.21537529588967,41.61775494348063,25.27909651565264,68.5216643248577,25.16369751004704,86.69876381945899,25.02701340955467,99.73868723924457
