waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) Y,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) Y,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) Y,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) X,waveVsWave(?x (OS("/M0" "id") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) Y
0.0005000499635639705,22.37443967601313,0.0004999210135808932,52.09244299460116,0.0004999318552729637,68.79035297396491,0.0004999439542856183,78.90839322660031
0.000511557851125078,22.43225792017856,0.0005115534152987267,52.28013091988287,0.0005115553753092617,69.06582868753033,0.0005115569100950288,79.23216153677329
0.0005234752252628547,22.49035380303089,0.000523470780185058,52.46688045149789,0.0005234727373651612,69.34002459321424,0.0005234742702342878,79.55439039071767
0.000535670199195703,22.54802644168305,0.0005356657456127349,52.65247390855134,0.0005356676998937236,69.61240841467814,0.0005356692307700158,79.87415827064459
0.0005481492399162251,22.60527991730598,0.0005481447778171881,52.83691759073719,0.000548146729184193,69.88299054986545,0.0005481482580551145,80.19148144174061
0.0005609189641918588,22.66211825323066,0.0005609144935654056,53.02021776924929,0.0005609164420033453,70.15178138515994,0.0005609179688562096,80.5063761778505
0.0005739861429143973,22.71854541967992,0.0005739816637486851,53.20238068747658,0.0005739836092422702,70.41879129577629,0.0005739851340642344,80.81885876057471
0.0005873577046899177,22.77456533433834,0.0005873532169726252,53.38341256040353,0.0005873551595063528,70.68403064306881,0.0005873566822844357,81.12894547312732
0.0006010407395124493,22.83018186292133,0.0006010362432307903,53.56331957405298,0.0006010381827889291,70.94750977198446,0.0006010397035100065,81.43665259451549
0.0006150425025231966,22.88539881974252,0.0006150379976639077,53.74210788497207,0.0006150399342305138,71.20923900865881,0.0006150414528812983,81.74199639402815
0.0006293704178572975,22.94021996828228,0.0006293659044066263,53.91978361975619,0.0006293678379655328,71.46922865814375,0.0006293693545326004,82.04499312599101
0.0006440320825801799,22.99464902175175,0.0006440275605239119,54.09635287461366,0.0006440294910587414,71.72748900226533,0.000644031005528505,82.34565902483577
0.0006590352707156801,23.04868964365739,0.0006590307400391118,54.27182171496597,0.0006590326675332555,71.98403029761042,0.000659034179891979,82.64401030041621
0.0006743879373678692,23.10234544836229,0.0006743833980558196,54.44619617508497,0.0006743853224924515,72.23886277362919,0.0006743868327262554,82.94006313358487
0.0006900982229389868,23.15562000164536,0.0006900936749758147,54.61948225776284,0.0006900955963378741,72.49199663085192,0.0006900971044327076,83.23383367204568
0.0007061744574456228,23.20851682125799,0.000706169900815172,54.7916859340162,0.0007061718190853766,72.74344203922473,0.0007061733250270551,83.52533802641338
0.0007226251649353002,23.26103937747818,0.000722620599620982,54.9628131428217,0.0007226225147818287,72.9932091365438,0.0007226240185559912,83.81459226653746
0.000739459068006186,23.31319109366055,0.0007394544939908827,55.13286979088176,0.0007394564060246374,73.24130802699685,0.0007394579076167772,84.10161241803426
0.0007566850924317749,23.36497534678489,0.0007566805096979279,55.30186175242056,0.0007566824185866195,73.48774877980712,0.0007566839179820809,84.38641445903617
0.0007743123718935732,23.41639546800002,0.0007743077804231194,55.46979486900763,0.0007743096861485557,73.73254142796388,0.0007743111833325137,84.66901431715918
0.0007923502528238489,23.46745474316393,0.000792345652598238,55.63667494941006,0.000792347555141984,73.97569596705827,0.0007923490500994672,84.94942786666607
0.000810808299361189,23.51815641338213,0.0008108036903614222,55.80250776946956,0.0008108055897048047,74.21722235419386,0.0008108070824206725,85.22767092581549
0.000829696298421628,23.56850367554005,0.0008296916806281938,55.96729907200753,0.0008296935767523186,74.45713050699466,0.0008296950672112779,85.50375925441702
0.0008490242648877495,23.61849968283274,0.0008490196382806289,56.13105456675208,0.000849021531166377,74.69543030268976,0.0008490230193529652,85.7777085515465
0.00086880244691867,23.66814754529093,0.0008687978114774079,56.29377993029133,0.0008687997011053918,74.93213157727715,0.000868801187004005,86.04953445345161
0.0008890413313838265,23.71745033030162,0.0008890366870874501,56.45548080604911,0.0008890385734380606,75.16724412477049,0.0008890400570329244,86.31925253161261
0.0009097516494232102,23.7664110631262,0.000909746996250271,56.61616280428305,0.000909748879303653,75.40077769651215,0.0009097503605788249,86.58687829096411
0.0009309443821371658,23.81503272741372,0.0009309397200656968,56.77583150210489,0.0009309415998017706,75.63274200056387,0.0009309430787411618,86.85242716829283
0.0009526307664087046,23.86331826570924,0.0009526260954162751,56.93449244352155,0.0009526279718147017,75.86314670116185,0.0009526294484020563,87.11591453074875
0.0009748223008614545,23.91127057995948,0.0009748176209251465,57.09215113949745,0.000974819493965362,76.09200141824556,0.0009748209681842512,87.37735567454234
0.0009975307519564361,23.95889253201278,0.0009975260630528165,57.24881306803618,0.0009975279327139944,76.31931572704298,0.0009975294045478432,87.63676582374366
