waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "vgs") ?y OS("/M0" "gmoverid")) (L=7.2e-07) Y
-0.2092189179411998,25.3423908594714,-0.204962603401335,25.48520709310253,-0.2113217269234013,25.41744791444452,-0.2155981244994944,25.31327515303491
-0.2101020387953354,25.33811007099516,-0.2058429154501484,25.47823013473381,-0.2122166825078262,25.40868873572828,-0.2164543034642457,25.3037809243951
-0.2109878461240358,25.33377326850918,-0.2067330951977824,25.47111086749721,-0.2131123616982071,25.39984866764813,-0.2173552024773904,25.293714724593
-0.2118738868018835,25.32939189147861,-0.2076235617944964,25.46392444446482,-0.214008376141591,25.39093114650661,-0.21825647716695,25.28356615588231
-0.2127601617503811,25.32496554103143,-0.2085143173645372,25.4566704155296,-0.2149047285087164,25.38193580388879,-0.2191581307769668,25.27333497424105
-0.2136466719017982,25.3204938162433,-0.2094053640034488,25.44934833264641,-0.2158014214925434,25.37286227767886,-0.2200601663294823,25.26302094909826
-0.2145334182137812,25.31597631409415,-0.210296703834153,25.44195774953606,-0.2166984578103033,25.36371021229118,-0.2209625868666369,25.25262386095998
-0.2154204016692771,25.31141262949852,-0.2111883390067875,25.43449822183972,-0.2175958402032321,25.35447925892908,-0.2218653954502592,25.24214350173889
-0.2163076232764658,25.30680235533683,-0.2120802716985433,25.42696930727735,-0.218493571436297,25.34516907584804,-0.2227685951614478,25.23157967508725
-0.217195084068694,25.30214508248782,-0.2129725041135044,25.41937056581067,-0.2193916542979193,25.33577932862348,-0.2236721891001461,25.22093219673429
-0.218082785104414,25.29744039986346,-0.2138650384824876,25.41170155980932,-0.2202900915996899,25.32630969042338,-0.2245761803847055,25.21020089482653
-0.2189707274671278,25.29268789444432,-0.2147578770628806,25.40396185422126,-0.2211888861760818,25.31675984228527,-0.2254805721514384,25.19938561027215
-0.2198589122653316,25.28788715131731,-0.2156510221384822,25.39615101674741,-0.2220880408841541,25.30712947339786,-0.2263853675541618,25.18848619708844
-0.2207473406324694,25.28303775371432,-0.2165444760193391,25.38826861801985,-0.2229875586032515,25.29741828138722,-0.2272905697637315,25.17750252275247
-0.2216360137268836,25.27813928305355,-0.217438241041584,25.38031423178489,-0.2238874422346948,25.2876259726077,-0.2281961819675624,25.16643446855498
-0.2225249327317744,25.27319131898122,-0.2183323195672711,25.37228743508948,-0.2247876947014666,25.27775226243677,-0.2291022073691407,25.15528192995648
