waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) Y,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) X,waveVsWave(?x OS("/M0" "gmoverid") ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) Y
27.22290776592774,22.37443967601313,27.33201597064523,52.09244299460116,27.26875282899333,68.79035297396491,27.19080850086891,78.90839322660031
27.22040149789356,22.43225792017856,27.32775124856863,52.28013091988287,27.26333015114923,69.06582868753033,27.18449371083735,79.23216153677329
27.2178376245683,22.49035380303089,27.32343658806477,52.46688045149789,27.2578414390861,69.34002459321424,27.17809791385472,79.55439039071767
27.21524615240216,22.54802644168305,27.31907661659911,52.65247390855134,27.25229681093482,69.61240841467814,27.1716387457053,79.87415827064459
27.21262679937361,22.60527991730598,27.31467091120535,52.83691759073719,27.24669578972064,69.88299054986545,27.16511571110496,80.19148144174061
27.2099792810895,22.66211825323066,27.31021904625536,53.02021776924929,27.24103789671776,70.15178138515994,27.15852831427974,80.5063761778505
27.20730331058698,22.71854541967992,27.3057205934451,53.20238068747658,27.23532265144317,70.41879129577629,27.15187605895656,80.81885876057471
27.20459859831979,22.77456533433834,27.30117512181259,53.38341256040353,27.22954957171834,70.68403064306881,27.14515844846669,81.12894547312732
27.20186485214401,22.83018186292133,27.29658219775787,53.56331957405298,27.22371817373156,70.94750977198446,27.13837498585229,81.43665259451549
27.19910177730259,22.88539881974252,27.29194138506341,53.74210788497207,27.2178279721035,71.20923900865881,27.13152517397654,81.74199639402815
27.19630907641314,22.94021996828228,27.28725224491654,53.91978361975619,27.21187847995515,71.46922865814375,27.12460851563599,82.04499312599101
27.19348644945238,22.99464902175175,27.28251433593225,54.09635287461366,27.20586920897751,71.72748900226533,27.11762451367753,82.34565902483577
27.1906335937431,23.04868964365739,27.27772721417833,54.27182171496597,27.19979966950493,71.98403029761042,27.1105726711179,82.64401030041621
27.18775020394061,23.10234544836229,27.27289043320142,54.44619617508497,27.1936693705897,72.23886277362919,27.10345249126706,82.94006313358487
27.18483597201909,23.15562000164536,27.26800354405423,54.61948225776284,27.1874778200802,72.49199663085192,27.09626347785519,83.23383367204568
27.18189058725832,23.20851682125799,27.26306609532518,54.7916859340162,27.18122452470113,72.74344203922473,27.08900513516246,83.52533802641338
27.1789137362314,23.26103937747818,27.25807763316811,54.9628131428217,27.17490899013659,72.9932091365438,27.08167696815389,83.81459226653746
27.17590510279058,23.31319109366055,27.25303770133499,55.13286979088176,27.16853072111645,73.24130802699685,27.07427848261653,84.10161241803426
27.17286436805639,23.36497534678489,27.24794584120919,55.30186175242056,27.16208922150432,73.48774877980712,27.06680918530114,84.38641445903617
27.16979121040429,23.41639546800002,27.24280159184093,55.46979486900763,27.15558399438979,73.73254142796388,27.05926858406776,84.66901431715918
27.16668530545223,23.46745474316393,27.23760448998407,55.63667494941006,27.1490145421826,73.97569596705827,27.05165618803494,84.94942786666607
27.16354632605035,23.51815641338213,27.23235407013473,55.80250776946956,27.1423803667102,74.21722235419386,27.04397150773289,85.22767092581549
27.16037394226804,23.56850367554005,27.22704986457187,55.96729907200753,27.1356809693183,74.45713050699466,27.03621405526078,85.50375925441702
27.15716782138307,23.61849968283274,27.22169140339939,56.13105456675208,27.12891585097461,74.69543030268976,27.02838334444848,85.7777085515465
27.15392762787145,23.66814754529093,27.21627821458969,56.29377993029133,27.12208451237565,74.93213157727715,27.0204788910215,86.04953445345161
27.15065302339535,23.71745033030162,27.21080982403015,56.45548080604911,27.11518645405686,75.16724412477049,27.01250021277131,86.31925253161261
