waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) X,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=1.8e-07) Y,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) X,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=3.6e-07) Y,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) X,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=5.4e-07) Y,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) X,waveVsWave(?x (OS("/M0" "is") / 2e-06) ?y (OS("/M0" "gm") / OS("/M0" "gds"))) (L=7.2e-07) Y
0.0004999223157280791,38.01060904467322,0.0005000165462243068,64.0026428398432,0.0004998943846703101,82.19235912507548,0.0005004546075616837,95.31334830818331
0.0005115364625581172,38.15293076730735,0.0005115385914372117,64.18986236970147,0.0005115354051486679,82.38756180088447,0.000511533283098356,95.50021081624195
0.0005234537981434214,38.29533221644462,0.0005234559253792863,64.37782662284371,0.0005234527356227729,82.58095210929808,0.0005234506141007932,95.69453038960214
0.0005356487341343517,38.43741744881921,0.0005356508591509263,64.56449961014846,0.0005356476666161338,82.77246298592344,0.0005356455424608935,95.88659576309894
0.0005481277368771969,38.57918646451427,0.0005481298596469056,64.74989063453371,0.0005481266643092365,82.96211289074313,0.0005481245375001849,96.07643292730775
0.0005608974231388599,38.72063923094938,0.0005608995436335586,64.93400887474697,0.0005608963454681092,83.14992009547971,0.0005608942159845002,96.26406756829026
0.0005739645638105798,38.86177568605884,0.0005739666820015053,65.11686339955602,0.0005739634809830753,83.33590268753585,0.0005739613488040099,96.44952512484893
0.0005873360874978723,39.0025957390908,0.0005873382033556889,65.29846317003289,0.0005873349994587799,83.5200785734803,0.0005873328645631942,96.63283079327694
0.0006010190841942237,39.14309927139172,0.0006010211976890086,65.47881704184944,0.0006010179908878202,83.70246548260539,0.000601015853254488,96.81400953218704
0.0006150208090402896,39.28328613717756,0.0006150229201415106,65.65793376758951,0.0006150197104099586,83.88308097052884,0.0006150175700174943,96.99308606744522
0.0006293486861706414,39.42315616429147,0.0006293507948471882,65.83582199907269,0.0006293475821588886,84.06194242286891,0.0006293454389857587,97.17008489717215
0.0006440103126501836,39.56270915494829,0.0006440124188703371,66.01249028968363,0.0006440092031986146,84.23906705895219,0.0006440070572231352,97.34503029683719
0.0006590134625021662,39.701944886467,0.0006590155662336305,66.18794709672007,0.0006590123475515165,84.4144719355825,0.0006590101987518493,97.51794632441086
0.0006743660908301404,39.84086311199145,0.0006743681920400021,66.36220078374076,0.0006743649703202479,84.58817395084411,0.0006743628186744055,97.68885682558576
0.0006900763380357811,39.97946356119959,0.0006900784366905472,66.53525962293149,0.0006900752119056124,84.76018984795844,0.0006900730573914674,97.85778543907335
0.0007061525341350986,40.11774594100176,0.0007061546302006791,66.70713179747194,0.0007061514023227369,84.93053621917322,0.0007061492449180307,98.0247556019352
0.0007226032031751202,40.25570993622852,0.0007226052966168143,66.87782540391801,0.000722602065617763,85.09922950968969,0.0007225999053000791,98.1897905549943
0.000739437067753411,40.39335521030925,0.0007394391585359131,67.04734845458178,0.0007394359243873779,85.26628602163755,0.0007394337611341812,98.35291334827228
0.0007566630536429376,40.53068140594007,0.0007566651417303597,67.21570887992949,0.0007566619044036784,85.43172191806309,0.0007566597381922898,98.51414684648597
0.0007742902945246317,40.66768814574424,0.0007742923798804895,67.38291453098047,0.0007742891393467268,85.5955532269659,0.0007742869701543513,98.67351373457956
0.0007923281368302075,40.80437503292251,0.0007923302194173954,67.54897318171271,0.0007923269756473479,85.75779584536157,0.0007923248034510565,98.83103652329474
0.0008107861446977044,40.94074165189749,0.000810788224478539,67.71389253147809,0.0008107849774427373,85.91846554336792,0.0008107828022194733,98.98673755477836
0.000829674105042603,41.07678756894794,0.0008296761819787822,67.87768020742386,0.0008296729316474799,86.07757796831642,0.0008296707533740884,99.14063900821051
0.0008490020327468993,41.21251233283797,0.0008490041067995253,68.04034376691797,0.0008490008531427287,86.23514864890633,0.0008489986717959125,99.29276290548302
0.0008687801759691645,41.34791547543885,0.0008687822470987519,68.20189069998452,0.000868778990086191,86.39119299935432,0.0008687768056425695,99.4431311168638
0.0008890190215782804,41.48299651234431,0.0008890210897447237,68.36232843174318,0.0008890178293458846,86.54572632359054,0.0008890156417819494,99.59176536672088
0.0009097293007136677,41.61775494348063,0.0009097313658762631,68.5216643248577,0.0009097281020603695,86.69876381945899,0.0009097259113525232,99.73868723924457
0.0009309219944750843,41.75219025371086,0.000930924056592542,68.67990568199036,0.0009309207893285781,86.85032058294898,0.0009309185954531118,99.88391818417095
0.0009526083397449968,41.88630191343469,0.0009526103987754162,68.83705974826057,0.0009526071280321009,87.00041161244036,0.0009526049309652256,100.0274795225551
0.0009747998351464763,42.02008937918369,0.0009748018910473576,68.99313371371724,0.0009747986167931807,87.14905181295904,0.0009747964165110027,100.1693924525128
0.0009975082471399379,42.15355209421187,0.0009975102998681863,69.14813471581149,0.0009975070220713841,87.2962560004606,0.000997504818549937,100.3096780549931
